"=""Burden Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Year""","=""Measure""","=""Metric""","=""Sex""","=""REI Name""","=""Cause Name""","=""Age Group Name""","=""Burden Mean""","=""Burden Mean Rounded""","=""Burden Upper""","=""Burden Lower""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Measure Name""","=""Metric Name"""
1307913,"=""country""","=""Bahrain""","=""BHR""","=""country""","=""Bahrain""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""0.0455""","=""0.0455""","=""0.0637""","=""0""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1307937,"=""country""","=""Bahrain""","=""BHR""","=""country""","=""Bahrain""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""0.0487""","=""0.0487""","=""0.0683""","=""0""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1307961,"=""country""","=""Bahrain""","=""BHR""","=""country""","=""Bahrain""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""34.7""","=""34.7""","=""113""","=""-36.8""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1307985,"=""country""","=""Bahrain""","=""BHR""","=""country""","=""Bahrain""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""30.9""","=""30.9""","=""100""","=""-33.1""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1309017,"=""country""","=""Bangladesh""","=""BGD""","=""country""","=""Bangladesh""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""2.53""","=""2.53""","=""15.7""","=""-2.16""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1309041,"=""country""","=""Bangladesh""","=""BGD""","=""country""","=""Bangladesh""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""2.57""","=""2.57""","=""14.3""","=""-2""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1309065,"=""country""","=""Bangladesh""","=""BGD""","=""country""","=""Bangladesh""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""2.36""","=""2.36""","=""12.2""","=""-1.97""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1309089,"=""country""","=""Bangladesh""","=""BGD""","=""country""","=""Bangladesh""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""2.48""","=""2.48""","=""10.9""","=""-2.04""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1305249,"=""country""","=""Barbados""","=""BRB""","=""country""","=""Barbados""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""0.0468""","=""0.0468""","=""0""","=""0""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1305273,"=""country""","=""Barbados""","=""BRB""","=""country""","=""Barbados""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""0.0493""","=""0.0493""","=""0""","=""0""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1305297,"=""country""","=""Barbados""","=""BRB""","=""country""","=""Barbados""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""16.1""","=""16.1""","=""92.7""","=""-14.9""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
